"Stories","Informed","DNA","GM","NaturalSelection","PCR","UndDNA","UndGM","UndNaturalSelection","UndPCR","BeforePand_1","BeforePand_2","BeforePand_3","ViewChange1","ViewChange2","ViewChange3","Statements_1","Statements_2","Statements_3","Statements_4","Statements_5","Statements_6","Statements_7","Statements_8","Statements_9","Statements_10","Statements_11","Statements_12","AttGenetics","Optimism","SciRelationship","ThreeMonths1","ThreeMonths2","ThreeMonths3","ThreeMonths4","ThreeMonths5","ThreeMonths6","WhoTrust01","WhoTrust02","WhoTrust03","WhoTrust04","WhoTrust05","WhoTrust06","WhoTrust07","WhoTrust08","WhoTrust09","WhoTrust10","WhichTrust01","WhichTrust02","WhichTrust03","WhichTrust04","WhichTrust05","WhichTrust06","WhichTrust07","WhichTrust08","WhichTrust09","WhichTrust10","WhichTrust11","WhichTrust12","WhichTrust13","WhichTrust14","WhichTrust15","WhichTrust16","WhichTrust17","HeardGenes","ThoughtGenes","TheseDays","TrustSci","TrustGenet","TrustGeol","PandTrustSci","PandTrustGenet","PandTrustGeol","Pfiz","Glaxo","HadCov","CovVac","PV11_Mode","PV11_Weight","SF_Region_N","RS_Age_Exact","RS_Sex","RS_EthnicGroup","RS_Religiosity","RS_EnglishLanguage","RS_EducationLevel","RS_NSSEC_OperationalCat","RS_Twitter","RS_LinkedIn","RS_Smartphone","RS_PoliticalEngagement","RS_ClimateChange","SF_OAC","RS_VotedGE17","RS_VoteChoice17","RS_VotedGE19","RS_VoteChoice19","RS_EUReferendumChoice16","RS_RichPeopleGetAwayWithIt","RS_RespectUKValues","RS_ProtectWorkingConditionsWages","RS_BusinessOverregulated","RS_NationalisePublicServicesIndustries","RS_TolerateUnconventional","RS_TougherSentences","RS_RedistributeIncome","RS_FewerImmigrants","RS_AbolishMonarchy","ID","sci_self_under","gen_self_under","scigen_self_under","self_change_under","attitude_prior","attitude_change","sci_know","ThreeMonthExposure","Who2Trust","GeneConciousness","TrustScientists","ChangeTrustScientists","HadCov_recoded","CovVac_recoded","Age","education_level","religion","politics"
3,3,4,4,4,3,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,-2,2,2,2,0,0,0,0,NA,"No","Yes, and I have already been vaccinated","Online s/cquestionnaire",0.365938831353088,"E12000009 (SW England)",51,"Female","White British","Not religious","English is only language","Non-degree level qualifications","L8.1: Employers in small establishments in industry, commerce, services etc.","No","No","Yes","Very closely","It is mainly caused by human activity","Rural white-collar workers","Voted","Plaid Cymru","Voted","Liberal Democrats","Remain",0,-1,-1,-2,-1,-1,0,0,-2,1,1,1,0.9375,0.958333333333333,0,0.166666666666667,0,1,1,0.0666666666666667,0.8,1,0,0,1,51,1,0,-0.35
3,2,4,4,4,3,0,0,0,0,2,2,-1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,0,1,1,1,0,0,0,NA,1,"No","Yes, and I have already been vaccinated","Online s/cquestionnaire",0.37589841262283,"E12000009 (SW England)",63,"Male","White British","Not religious","English is a second language (at most)","Degree level qualification(s)","L4.1: Lower professional and higher technical occupations - ‘Traditional’ employees","No","No","Yes","Very closely","It is entirely caused by human activity","Rural white-collar workers","Voted","Labour","Voted","Labour","Remain",0,-1,-2,-2,-2,-1,-1,-2,-2,0,2,0.833333333333333,0.9375,0.902777777777778,0,0.5,0,1,0.4,0.0666666666666667,0.4,0.5,0,0,1,63,2,0,-0.65
2,1,3,3,2,2,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,-1,1,-1,-1,1,1,0.5,0.5,0.5,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,3,1,0,0,0,2,1,0,0,NA,0,"No","Yes, and I have already been vaccinated","Online s/cquestionnaire",1.24399651463656,"E12000009 (SW England)",56,"Female","White British","Not religious","English is only language","Degree level qualification(s)","L4.1: Lower professional and higher technical occupations - ‘Traditional’ employees","No","No","Yes","Very closely","It is entirely caused by human activity","Rural white-collar workers","Voted","Liberal Democrats","Voted","Liberal Democrats","Remain",1,-1,-2,NA,1,-2,-2,-1,-2,-1,3,0.5,0.625,0.583333333333333,0.25,0.166666666666667,0,0.5,0.6,0.266666666666667,0.4,0.333333333333333,0.166666666666667,0,1,56,2,0,-0.5
3,2,4,4,4,0,0,0,0,0,1,2,-1,0,0,0,1,-1,1,1,1,1,0,-1,1,1,1,0,1,1,0.5,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,1,1,2,1,2,0,NA,2,"No","Yes, and I have already been vaccinated","Online s/cquestionnaire",1.3909062375875,"E12000009 (SW England)",70,"Female","White British","Religious (practising)","English is main language but not the only one","Non-degree level qualifications","L7.1: Intermediate clerical and administrative occupations","No","No","Yes","Very closely","It is mainly caused by human activity","Rural white-collar workers","Voted","Labour","Voted","Labour","Remain",0,1,-2,-1,-1,1,1,-1,1,1,4,0.833333333333333,0.75,0.777777777777778,0,0.333333333333333,0,0.5,0.6,0.133333333333333,0.6,0.666666666666667,0.5,0,1,70,1,2,0
2,2,4,4,4,4,0,0,0,0,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,0,1,0,0,0,1,0,0.5,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,-1,-1,-1,2,-1,-1,0,NA,-2,"Yes, my own suspicions","No, I would not get vaccinated","Online s/cquestionnaire",1.86163666803423,"N99999999 (Northern Ireland)",48,"Male","White British","Religious (practising)","English is only language","Non-degree level qualifications","L9.1: Own account workers (non-professional)","No","No","Yes","Not very closely","It is partly caused by natural processes and partly caused by human activity","Multi-ethnic suburbia","Voted","Green Party","Did not vote","Did not vote","Leave",1,0,-1,2,-2,-1,1,0,-1,-2,5,0.666666666666667,1,0.888888888888889,0,-0.166666666666667,-1,0.166666666666667,0.2,0.133333333333333,0.2,0,-0.333333333333333,1,0,48,1,2,-0.15
2,2,4,2,2,2,0,0,0,0,0,0,-1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,-1,0,-0.5,0.5,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA,0,"Yes, confirmed by a positive test","Yes, and I have already been vaccinated","Online s/cquestionnaire",0.639567068387173,"E12000006 (East of England)",51,"Female","White British","Not religious","English is only language","Non-degree level qualifications","L4.1: Lower professional and higher technical occupations - ‘Traditional’ employees","Yes","No","Yes","Not very closely","It is partly caused by natural processes and partly caused by human activity","Hard-pressed ethnic mix","Voted","Conservatives","Voted","Liberal Democrats","Leave",-1,0,0,NA,0,1,-2,-2,NA,2,6,0.666666666666667,0.625,0.638888888888889,0,-0.166666666666667,0,0.583333333333333,0.4,0.0666666666666667,0.2,0,0,1,1,51,1,0,-0.125
3,2,4,4,4,3,0,0,0,0,2,2,-1,0,0,0,1,1,1,1,1,1,1,1,-1,1,1,0,1,1,0.5,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,3,4,0,2,2,2,0,0,0,NA,0,"No","Yes, and I have already been vaccinated","Online s/cquestionnaire",1.49265030812003,"E12000006 (East of England)",41,"Female","White British","Not religious","English is only language","Non-degree level qualifications","L5: Lower managerial and administrative occupations","No","Yes","Yes","Fairly closely","It is partly caused by natural processes and partly caused by human activity","Hard-pressed ethnic mix","Voted","Conservatives","Voted","Conservatives","Leave",-1,1,-1,1,0,-1,2,2,1,2,7,0.833333333333333,0.9375,0.902777777777778,0,0.5,0,0.75,0.8,0.6,0.7,1,0,0,1,41,1,0,0.3
3,2,3,2,3,2,0,0,0,0,1,0,-1,0,0,0,1,1,1,1,1,1,-1,1,1,1,1,0,0.5,0.5,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,3,3,0,1,-1,2,0,0,0,1,NA,"No","Yes, and I have already been vaccinated","Online s/cquestionnaire",0.970844977478174,"E12000006 (East of England)",49,"Female","Any other White background","Religious (not actively practising)","English is a second language (at most)","Degree level qualification(s)","L3.1: Higher professional occupations - ‘Traditional’ employees","No","No","Yes","Fairly closely","It is mainly caused by human activity","Older workers and retirement","Did not vote","Did not vote","Did not vote","Did not vote","Did not vote",0,0,-1,0,-2,-1,0,-1,-2,0,8,0.833333333333333,0.625,0.694444444444445,0,0,0,0.75,0.6,0.333333333333333,0.6,0.333333333333333,0,0,1,49,2,1,-0.35
2,1,4,4,2,4,0,0,0,1,-2,-2,-1,0,0,1,1,1,0,1,1,1,1,0,0,-1,1,1,0,-0.5,0.5,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,3,-1,0,-1,0,-1,0,0,NA,NA,"No","Yes, and I have already been vaccinated","Online s/cquestionnaire",0.431597857482521,"E12000006 (East of England)",67,"Female","White British","Religious (practising)","English is only language","Non-degree level qualifications","L5: Lower managerial and administrative occupations","No","No","Yes","Very closely","It is mainly caused by human activity","White professionals","Voted",NA,"Voted",NA,"Remain",-1,1,-1,0,-2,-1,1,1,0,2,9,0.5,0.875,0.75,0.25,-0.833333333333333,0.333333333333333,0.583333333333333,0.2,0.2,0.4,-0.166666666666667,-0.166666666666667,0,1,67,1,2,0
2,1,2,2,1,0,0,0,0,0,2,1,-2,-1,0,-1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0.5,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,-1,1,0,0,0,0,0,NA,-1,"Yes, my own suspicions","Prefer not to answer","Online s/cquestionnaire",0.946962505011853,"E12000006 (East of England)",58,"Female","White British","Religious (not actively practising)","English is only language","Non-degree level qualifications","L7.1: Intermediate clerical and administrative occupations","Yes","No","Yes","Fairly closely","It is partly caused by natural processes and partly caused by human activity","White professionals","Voted","UKIP","Voted","The Brexit Party","Leave",-1,2,-2,-1,-1,-1,2,-2,2,-1,10,0.5,0.3125,0.375,0,0.166666666666667,-0.666666666666667,0.833333333333333,0.4,0.2,0.1,0.166666666666667,0,1,NA,58,1,1,-0.15
